code,rose(3y),rank(3y),rank_r(3y),name,rose(2y),rank(2y),rank_r(2y),rose(1y),rank(1y),rank_r(1y),rose(6m),rank(6m),rank_r(6m),rose(3m),rank(3m),rank_r(3m),类型
001753,124.29,28.0,0.0056,红土创新新兴产业混合C,124.29,28.0,0.0056,124.29,28,0.0056,124.29,28,0.0056,124.29,28,0.0056,混合型
001765,98.07,92.0,0.0184,前海开源嘉鑫混合AC,98.07,92.0,0.0184,98.07,92,0.0184,98.07,92,0.0184,98.07,92,0.0184,混合型
001770,97.8,93.0,0.0186,前海开源嘉鑫混合CC,97.8,93.0,0.0186,97.8,93,0.0186,97.8,93,0.0186,97.8,93,0.0186,混合型
001864,60.43,1025.0,0.205,中海魅力长三角混合C,60.43,1025.0,0.205,60.43,1025,0.205,60.43,1025,0.205,60.43,1025,0.205,混合型
001877,59.18,1094.0,0.2188,宝盈国家安全沪港深股票AC,59.18,1094.0,0.2188,59.18,1094,0.2188,59.18,1094,0.2188,59.18,1094,0.2188,股票型
001885,57.56,1215.0,0.243,中欧新蓝筹混合EC,57.56,1215.0,0.243,57.56,1215,0.243,57.56,1215,0.243,57.56,1215,0.243,混合型
001892,61.32,971.0,0.1942,长盛新兴成长混合C,61.32,971.0,0.1942,61.32,971,0.1942,61.32,971,0.1942,61.32,971,0.1942,混合型
001900,75.32,407.0,0.0814,诺安精选价值混合AC,75.32,407.0,0.0814,75.32,407,0.0814,75.32,407,0.0814,75.32,407,0.0814,混合型
001970,72.73,481.0,0.0962,泰信鑫选灵活配置混合AC,72.73,481.0,0.0962,72.73,481,0.0962,72.73,481,0.0962,72.73,481,0.0962,混合型
001985,87.31,196.0,0.0392,富国低碳新经济混合AC,87.31,196.0,0.0392,87.31,196,0.0392,87.31,196,0.0392,87.31,196,0.0392,混合型
001998,65.47,745.0,0.149,工银新焦点混合CC,65.47,745.0,0.149,65.47,745,0.149,65.47,745,0.149,65.47,745,0.149,混合型
002052,110.4,37.0,0.0074,诺安稳健回报混合CC,110.4,37.0,0.0074,110.4,37,0.0074,110.4,37,0.0074,110.4,37,0.0074,混合型
002064,63.44,832.0,0.1664,华富产业升级灵活配置混合AC,63.44,832.0,0.1664,63.44,832,0.1664,63.44,832,0.1664,63.44,832,0.1664,混合型
002067,58.09,1166.0,0.2332,诺安精选回报混合C,58.09,1166.0,0.2332,58.09,1166,0.2332,58.09,1166,0.2332,58.09,1166,0.2332,混合型
002095,67.74,643.0,0.1286,博时新收益AC,67.74,643.0,0.1286,67.74,643,0.1286,67.74,643,0.1286,67.74,643,0.1286,未知
002096,67.58,653.0,0.1306,博时新收益CC,67.58,653.0,0.1306,67.58,653,0.1306,67.58,653,0.1306,67.58,653,0.1306,未知
002106,59.49,1069.0,0.2138,德邦福鑫灵活配置混合CC,59.49,1069.0,0.2138,59.49,1069,0.2138,59.49,1069,0.2138,59.49,1069,0.2138,混合型
002112,142.8,10.0,0.002,德邦鑫星价值灵活配置混合CC,142.8,10.0,0.002,142.8,10,0.002,142.8,10,0.002,142.8,10,0.002,混合型
002145,67.01,669.0,0.1338,诺安景鑫灵活配置混合C,67.01,669.0,0.1338,67.01,669,0.1338,67.01,669,0.1338,67.01,669,0.1338,混合型
002152,86.32,214.0,0.0428,华宝核心优势混合AC,86.32,214.0,0.0428,86.32,214,0.0428,86.32,214,0.0428,86.32,214,0.0428,混合型
002163,71.37,522.0,0.1044,东方惠新灵活配置混合CC,71.37,522.0,0.1044,71.37,522,0.1044,71.37,522,0.1044,71.37,522,0.1044,混合型
002168,60.58,1010.0,0.202,嘉实智能汽车股票C,60.58,1010.0,0.202,60.58,1010,0.202,60.58,1010,0.202,60.58,1010,0.202,股票型
002170,83.62,254.0,0.0508,东吴移动互联混合CC,83.62,254.0,0.0508,83.62,254,0.0508,83.62,254,0.0508,83.62,254,0.0508,混合型
002207,79.11,330.0,0.066,前海开源金银珠宝混合CC,79.11,330.0,0.066,79.11,330,0.066,79.11,330,0.066,79.11,330,0.066,混合型
002272,68.95,607.0,0.1214,新华科技创新主题灵活配置混合C,68.95,607.0,0.1214,68.95,607,0.1214,68.95,607,0.1214,68.95,607,0.1214,混合型
002281,60.44,1024.0,0.2048,建信裕利灵活配置混合C,60.44,1024.0,0.2048,60.44,1024,0.2048,60.44,1024,0.2048,60.44,1024,0.2048,混合型
002379,69.12,601.0,0.1202,工银香港中小盘人民币C,69.12,601.0,0.1202,69.12,601,0.1202,69.12,601,0.1202,69.12,601,0.1202,未知
002450,74.49,428.0,0.0856,平安睿享文娱混合AC,74.49,428.0,0.0856,74.49,428,0.0856,74.49,428,0.0856,74.49,428,0.0856,混合型
002451,73.06,475.0,0.095,平安睿享文娱混合CC,73.06,475.0,0.095,73.06,475,0.095,73.06,475,0.095,73.06,475,0.095,混合型
002555,73.44,461.0,0.0922,博时沪港深优质企业基金CC,73.44,461.0,0.0922,73.44,461,0.0922,73.44,461,0.0922,73.44,461,0.0922,未知
002560,58.74,1126.0,0.2252,诺安和鑫混合AC,58.74,1126.0,0.2252,58.74,1126,0.2252,58.74,1126,0.2252,58.74,1126,0.2252,混合型
002580,72.54,486.0,0.0972,泰信鑫选灵活配置混合CC,72.54,486.0,0.0972,72.54,486,0.0972,72.54,486,0.0972,72.54,486,0.0972,混合型
